Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
Cantieri in Comune - Delibera CIPE 38/2015|Liguria|Imperia|Triora|008061|Amministrazione comunale|2017-06-30|2016-04-12|2017-06-30|Triora|COMUNE|0080610113|IMIC805008|IMEE80505E|Primaria - Triora||Completamento e messa in sicurezza della scuola primaria. adeguamento impiantistica. abbattimento barriere architettoniche. recupero di spazi da destinare al miglioramento e al potenziamento dell`attività didattica.|No|43.993497|7.762075|Ristrutturazione|Concluso|IT84H14000760003|180000,0000|176400,0000
Cantieri in Comune - Delibera CIPE 38/2015|Piemonte|Torino|Trofarello|001280|Amministrazione comunale|2016-05-31|2015-09-04|2016-05-31|Trofarello|COMUNE|0012800012|TOIC83200V|TOAA83204V|I.C. TROFARELLO LA PACE INFANZ.||Ampliamento della scuola dell`infanzia La Pace|No|44.981254|7.741850|Ampliamento|Concluso|I93B10000350007|1079319,7000|372253,0000
Cantieri in Comune - Delibera CIPE 38/2015|Calabria|Cosenza|Grisolia|078060|Amministrazione comunale|2017-07-11|2016-10-04|2017-12-31|Grisolia|COMUNE|0780600375|CSIC835005|CSMM835016|Sec. I - GRISOLIA||Ristrutturazione scuola secondaria di primo grado |No|39.724913|15.853435|Riqualificazione con ristrutturazione dell`esistente edificio scolastico|Cantiere aperto|G56J13001450001|350000,0000|350000,0000
Cantieri in Comune - Delibera CIPE 38/2015|Calabria|Cosenza|Luzzi|078070|Gazzetta Ufficiale 139, 18 giugno 2015|2017-03-30|||Luzzi|COMUNE|0780700237|CSMM305001|CSMM305001|IO LUZZI G. COPPA+LC-ISA LUZZI|||No|39.438255|16.262654|Messa in sicurezza|Dato in raccolta||0,0000|965000,0000
Cantieri in Comune - Delibera CIPE 38/2015|Piemonte|Torino|San Mauro Torinese|001249|Amministrazione comunale|2017-06-30|2016-02-01|2017-06-30|San Mauro Torinese|COMUNE|0012490002|TOIC8AW001|TOAA8AW01T|I.C. II SAN MAURO - FREINET||Ampliamento e ristrutturazione della scuola dell`infanzia Freinet. La scuola comprende 4 aule didattiche e ospita circa 100 bambini.|No|45.106467|7.753928|Ampliamento e ristrutturazione|Concluso|F51E14000560001|1090000,0000|1090000,0000
Cantieri in Comune - Delibera CIPE 38/2015|Sardegna|Sassari|Nule|090045|Amministrazione comunale|2016-05-09|2016-02-02|2016-05-09|Nule|COMUNE|0900450265|SSIC820006|SSEE82009L|SCUOLA PRIMARIA NULE||Messa in sicurezza della scuola primaria|No|40.462998|9.192518|Messa in sicurezza|Concluso|J73G14000440001|100000,0000|100000,0000
Cantieri in Comune - Delibera CIPE 38/2015|Molise|Campobasso|Vinchiaturo|070084|Amministrazione comunale|2017-09-07|2016-05-23|2017-09-14|Vinchiaturo|COMUNE|0700840173|CBIC828003|CBEE828015|Primaria - Vinchiaturo||Completamento e messa in sicurezza|No|41.492982|14.589590|Completamento messa in sicurezza|Concluso|F96J15000080001|850000,0000|850000,0000
Cantieri in Comune - Delibera CIPE 38/2015|Lombardia|Pavia|Broni|018024|Amministrazione comunale|2017-07-11|2016-07-13|2018-04-05|Broni|COMUNE|0180240002|PVIC821006|PVEE821029|"PAOLO BAFFI" - BRONI||Nuova costruzione del blocco est della scuola dell`infanzia e della primaria realizzazione di una palestra scolastica utilizzabile anche per usi extrascolastici (lotto 2) e del blocco ovest della nuova scuola primaria (lotto 3).|Si|45.059229|9.258290|Nuova costruzione: realizzazione di una palestra scolastica utilizzabile anche per usi extrascolastici (lotto 2) e del blocco ovest della nuova scuola primaria (lotto 3).|Cantiere aperto|G51E15000120001 - G51E15000130001|3967818,0000|3967818,0000
Cantieri in Comune - Delibera CIPE 38/2015|Emilia-Romagna|Ravenna|Russi|039016|Amministrazione comunale|2017-02-08|2016-05-25|2017-02-08|Russi|COMUNE|0390160154|RAIC80500P|RAEE80501R|CAP.  LAMA||Miglioramento sismico finalizzato anche a garantire l`utilizzo dell`immobile per eventuali situazioni legate alla Protezione Civile|No|44.375102|12.035006|Miglioramento sismico finalizzato anche a garantire l`utilizzo dell`immobile per eventuali situazioni legate alla Protezione Civile|Concluso|B81E15000140001|350000,0000|350000,0000
Cantieri in Comune - Delibera CIPE 38/2015|Campania|Napoli|Ottaviano|063051|Amministrazione comunale|2017-09-07|2016-12-30|2017-10-31|Ottaviano|COMUNE|0630511687|NAIC8CG00G|NAMM8CG01L|S-M. D`AOSTA - IC  OTTAVIANO|||No|40.848779|14.474773|Completamento|Cantiere aperto|G83G15000170001|2950000,0000|2950000,0000
Cantieri in Comune - Delibera CIPE 38/2015|Campania|Salerno|Stella Cilento|065144|Amministrazione comunale|2017-03-30|2016-02-22|2017-06-05|Stella Cilento|COMUNE||SAIC866002|SAAA86602X|STELLA CILENTO CAPOLUOGO||Ristrutturazione e messa in sicurezza della scuola dell`infanzia.|No|40.231971|15.093375|Ristrutturazione e messa in sicurezza|Concluso|H67E13000210002|407723,0000|407723,0000
Cantieri in Comune - Delibera CIPE 38/2015|Sicilia|Agrigento|Santa Margherita di Belice|084038|Amministrazione comunale|2017-02-06|2016-06-21|2017-02-06|Santa Margherita di Belice|COMUNE|0840383345|AGIC80800E|AGEE80801L|S.G.BOSCO||Gli interventi hanno riguardato la realizzazione di nuovi impianti elettrici. antincendio e l`abbattimento delle barriere architettoniche.|No|37.691987|13.021672|Impianti elettrici, antincendio ed abbattimento delle barriere architettoniche|Concluso|D57E13000520005|788019,0000|788019,0000
Cantieri in Comune - Delibera CIPE 38/2015|Sicilia|Ragusa|Modica|088006|Amministrazione comunale|2017-03-30|2016-04-18|2017-10-20|Modica|COMUNE|0880063872|RGIC825001|RGEE825024|VANELLA DENARO PAPA||L`intervento riguarda il completamento e l`adeguamento normativo. strutturale. antisismico ed energetico dell`edificio che ospita circa 350 alunni. |Si|36.732220|14.856362|Completamento ed adeguamento|Cantiere aperto|J89G13001720006|2410000,0000|2410000,0000
Cantieri in Comune - Delibera CIPE 38/2015|Toscana|Arezzo|Caprese Michelangelo|051007|Amministrazione comunale|2017-03-30|2015-07-01|2017-03-30|Caprese Michelangelo|COMUNE|0510070002|ARIC82400D|ARMM82402G|MICHELANGELO  BUONARROTI||Realizzazione di un nuovo impianto di riscaldamento. nuovi spogliatoi e nuovi servizi igienici.|No|43.641534|11.986374|Messa in sicurezza|Concluso|C66J15000190001|173275,0000|173275,0000
Cantieri in Comune - Delibera CIPE 38/2015|Toscana|Firenze|Sesto Fiorentino|048043|Amministrazione comunale|2016-04-26|2015-02-02|2016-04-26|Sesto Fiorentino|COMUNE|0480430100|FIEE56000V| FIAA56002|||La scuola è realizzata secondo i concetti del risparmio energetico più avanzato. Cappotto perimetrale su tutto l’edificio. murature realizzate con laterizi specifici per il risparmio energetico. Copertura con struttura portante in legno lamellare.
Giardino con area verde di 780 mq. due aree attrezzate con giochi e tre zone pergolate.|No|43.837654|11.178696|Nuova costruzione|Concluso|B99H09000050009|2554026,0000|1390026,4300
Cantieri in Comune - Delibera CIPE 38/2015|Lazio|Roma|Arsoli|058010|Amministrazione comunale|2017-07-11|2015-10-26|2017-08-29|Arsoli|COMUNE|0580101173|RMIC8BC00L|RMMM8BC01N|ROSATELLI||Realizzazione della nuova scuola secondaria di primo grado |No|42.041666|13.015375|Nuova costruzione |Concluso|G89H11000480002|1300000,0000|1300000,0000
Cantieri in Comune - Delibera CIPE 38/2015|Abruzzo|L`Aquila|Roccaraso|066084|Amministrazione comunale|2017-07-11|2015-08-31|2017-10-03|Roccaraso|COMUNE|0660840001|AQIC81900B|AQEE81903G|SCUOLA PRIMARIA ROCCARASO CAP.|||No|41.846547|14.077330|Adeguamento sismico e completamento|Concluso|G93G13000390007|1300000,0000|1021194,0000
Cantieri in Comune - Delibera CIPE 38/2015|Abruzzo|Chieti|Tollo|069090|Amministrazione comunale|2016-08-22|2015-10-14|2016-08-22|Tollo|COMUNE|0690900388|CHIC81300T|CHMM81301V|TOLLO||Gli interventi hanno riguardato il completamento della nuova struttura. con la realizzazione di un impianto di riscaldamento a pavimento. infissi a taglio termico e di sistema antincendio.|No|42.340958|14.315931|Completamento della nuova sede|Concluso|F33G14000550001|600000,0000|600000,0000
