AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|ALUNNI|Tipo
NORD OVEST|CNIC826003|CNMM826047|VENASCA-COSTIGLIOLE S.|VENASCA SS COSTIGLIOLE SALUZZO|COSTIGLIOLE SALUZZO|SCUOLA PRIMO GRADO|PIAZZA VITTORIO EMANUELE II N. 10|CUNEO|PIEMONTE|97.0|S
NORD OVEST|CNIC82800P|CNMM82801Q|"DRONERO ""G.GIOLITTI"""|"DRONERO ""G.GIOLITTI"""|DRONERO|SCUOLA PRIMO GRADO|"PIAZZA BATTAGLIONE ALPINI ""DRONERO"""|CUNEO|PIEMONTE|248.0|S
NORD OVEST|CNIC82800P|CNMM82802R|"DRONERO ""G.GIOLITTI"""|DRONERO SS STROPPO|STROPPO|SCUOLA PRIMO GRADO|FRAZIONE BASSURA|CUNEO|PIEMONTE|45.0|S
NORD OVEST|CNIC83000P|CNMM83001Q|"RACCONIGI ""B. MUZZONE"""|"RACCONIGI  ""B.MUZZONE"""|RACCONIGI|SCUOLA PRIMO GRADO|VIA SACCO E VANZETTI|CUNEO|PIEMONTE|301.0|S
NORD OVEST|CNIC83100E|CNMM83101G|MORETTA|MORETTA|MORETTA|SCUOLA PRIMO GRADO|VIA MARTIRI LIBERTA' N. 10|CUNEO|PIEMONTE|208.0|S
NORD OVEST|CNIC83100E|CNMM83102L|MORETTA|MORETTA SS SCARNAFIGI|SCARNAFIGI|SCUOLA PRIMO GRADO|VIA CARLO ALBERTO N.  5|CUNEO|PIEMONTE|106.0|S
NORD OVEST|CNIC83200A|CNMM83201B|"BAGNOLO P.TE ""B. FENOGLIO"""|"BAGNOLO P.TE ""B. FENOGLIO"""|BAGNOLO PIEMONTE|SCUOLA PRIMO GRADO|VIA  CONFRATERNITA       42|CUNEO|PIEMONTE|182.0|S
NORD OVEST|CNIC833006|CNMM833017|BARGE|"BARGE ""GIOVANNI XXIII"""|BARGE|SCUOLA PRIMO GRADO|VIA COTTOLENGO N. 2|CUNEO|PIEMONTE|221.0|S
NORD OVEST|CNIC834002|CNMM834013|REVELLO|"REVELLO ""D.ALIGHIERI"""|REVELLO|SCUOLA PRIMO GRADO|VIALE UMBERTO I N. 33|CUNEO|PIEMONTE|202.0|S
NORD OVEST|CNIC83500T|CNMM83501V|SANFRONT -  PAESANA|"SANFRONT ""G.B.BOERO"""|SANFRONT|SCUOLA PRIMO GRADO|CORSO MARCONI  N.  22|CUNEO|PIEMONTE|112.0|S
NORD OVEST|CNIC83500T|CNMM83502X|SANFRONT -  PAESANA|SANFRONT SS PAESANA D.L.MILANI|PAESANA|SCUOLA PRIMO GRADO|VIA ROMA N. 59|CUNEO|PIEMONTE|81.0|S
NORD OVEST|CNIC83600N|CNMM83601P|GARESSIO|"GARESSIO ""FASIANI"""|GARESSIO|SCUOLA PRIMO GRADO|VIA VITT. EMANUELE  100|CUNEO|PIEMONTE|90.0|S
NORD OVEST|CNIC846008|CNMM84602A|DOGLIANI|DOGLIANI  SS FARIGLIANO|FARIGLIANO|SCUOLA PRIMO GRADO|PIAZZA VITTORIO EMANUELE II N.24|CUNEO|PIEMONTE|59.0|S
NORD OVEST|CNIC847004|CNMM847015|CUNEO - FRAZ. BORGO S. GIUSEPPE|CUNEO BORGO SAN GIUSEPPE|CUNEO|SCUOLA PRIMO GRADO|VIA ROCCA DE' BALDI 15|CUNEO|PIEMONTE|225.0|S
NORD OVEST|CNIS02900P|CNTD02951A|"MONDOVI' ""CIGNA-BARUFFI-GARELLI"""|"MONDOVI'""G.BARUFFI""SERALE"|MONDOVI'|IST TEC COMMERCIALE E PER GEOMETRI|VIA ENZO TORTORA 48|CUNEO|PIEMONTE||
NORD OVEST|CNTD04000P|CNTD04000P|"CUNEO - ""F. A. BONELLI"""|"CUNEO - ""F. A. BONELLI"""|CUNEO|ISTITUTO TECNICO COMMERCIALE|VIALE      ANGELI, 12|CUNEO|PIEMONTE|842.0|S
NORD OVEST|CNTD04000P|CNTD040504|"CUNEO - ""F. A. BONELLI"""|"CUNEO ""F.A.BONELLI"" SERALE"|CUNEO|ISTITUTO TECNICO COMMERCIALE|VIALE      ANGELI, 12|CUNEO|PIEMONTE|43.0|S
NORD OVEST|CNTF010005|CNTF010005|"CUNEO ""MARIO DELPOZZO"""|"CUNEO ""MARIO DELPOZZO"""|CUNEO|ISTITUTO TECNICO INDUSTRIALE|CORSO      A.DE GASPERI 30|CUNEO|PIEMONTE|878.0|S
NORD OVEST|CNTF010005|CNTF01050E|"CUNEO ""MARIO DELPOZZO"""|"CUNEO""M.DELPOZZO""SERALE"|CUNEO|ISTITUTO TECNICO INDUSTRIALE|CORSO A. DE GASPERI 30|CUNEO|PIEMONTE|53.0|S
NORD OVEST|CNIS014001|CNTF01401D|"SALUZZO - ""C. DENINA"""|"VERZUOLO ""GIOVANNI RIVOIRA"""|VERZUOLO|ISTITUTO TECNICO INDUSTRIALE|VIA DON ORIONE N.1|CUNEO|PIEMONTE|228.0|S
NORD OVEST|CNIC84800X|CNMM848011|CUNEO - OLTRESTURA|"""F.CENTRO"" - MADONNA DELL'OLMO"|CUNEO|SCUOLA PRIMO GRADO|VIA DELLA BATTAGLIA, 2|CUNEO|PIEMONTE|339.0|S
NORD OVEST|CNIC84900Q|CNMM84901R|DIANO D'ALBA - CAPOLUOGO|DIANO D'ALBA|DIANO D'ALBA|SCUOLA PRIMO GRADO|P.ZZA UMBERTO I N.25/A|CUNEO|PIEMONTE|146.0|S
NORD OVEST|CNIC85000X|CNMM850011|BUSCA GIOSUE CARDUCCI|"BUSCA ""G.CARDUCCI"""|BUSCA|SCUOLA PRIMO GRADO|CORSO GIOVANNI GIOLITTI N. 8|CUNEO|PIEMONTE|294.0|S
NORD OVEST|CNIC85100Q|CNMM85101R|SAVIGLIANO S. SANTAROSA|SAVIGLIANO S. SANTAROSA|SAVIGLIANO|SCUOLA PRIMO GRADO|VIA DEGLI STUDI 2|CUNEO|PIEMONTE|381.0|S
NORD OVEST|CNIC85200G|CNMM85201L|SAVIGLIANO -PAPA GIOVANNI XXIII|SAVIGLIANO GIOVANNI XXIII|SAVIGLIANO|SCUOLA PRIMO GRADO|PIAZZA MOLINERI 9|CUNEO|PIEMONTE|264.0|S
NORD OVEST|CNIC85200G|CNMM85202N|SAVIGLIANO -PAPA GIOVANNI XXIII|SAVIGLIANO SS MARENE|MARENE|SCUOLA PRIMO GRADO|VIA R. GALVAGNO N. 3|CUNEO|PIEMONTE|104.0|S
NORD OVEST|CNIS014001|CNTD01450G|"SALUZZO - ""C. DENINA"""|"SALUZZO""C.DENINA""SERALE"|SALUZZO|ISTITUTO TECNICO COMMERCIALE|VIA DELLA CHIESA 17|CUNEO|PIEMONTE|16.0|S
NORD OVEST|CNIC86100A|CNMM86101B|CUNEO VIA SOBRERO|CUNEO - DA VINCI|CUNEO|SCUOLA PRIMO GRADO|VIA A. SOBRERO 14|CUNEO|PIEMONTE|336.0|S
NORD OVEST|CNIS00700T|CNPC007015|"ALBA - ""G. GOVONE"""|"ALBA ""G.GOVONE"""|ALBA|LICEO CLASSICO|VIA TEOBALDO CALISSANO 8|CUNEO|PIEMONTE|351.0|S
NORD OVEST|CNIS02200X|CNPC022017|"ISTRUZIONE SUPERIORE  ""ARIMONDI-EULA"""|"ISTRUZIONE SUPERIORE ""ARIMONDI - EULA"""|SAVIGLIANO|LICEO CLASSICO|PIAZZA  BARALIS 4/5|CUNEO|PIEMONTE|419.0|S
NORD OVEST|CNPC030005|CNPC030005|"SALUZZO ""G.B.BODONI"""|"SALUZZO ""G.B.BODONI"""|SALUZZO|LICEO CLASSICO|VIA DONAUDI, 24|CUNEO|PIEMONTE|670.0|S
NORD OVEST|CNIC85300B|CNMM85301C|ALBA QUARTIERE MUSSOTTO E SX TA|ALBA - SS MONTICELLO|MONTICELLO D'ALBA|SCUOLA PRIMO GRADO|PIAZZA G. MARCONI N. 2|CUNEO|PIEMONTE|39.0|S
NORD OVEST|CNIC85300B|CNMM85302D|ALBA QUARTIERE MUSSOTTO E SX TA|ALBA - SS MUSSOTTO|ALBA|SCUOLA PRIMO GRADO|VIA DELPIANO, 11|CUNEO|PIEMONTE|150.0|S
NORD OVEST|CNIC854007|CNMM854018|ALBA QUARTIERE PIAVE S.CASSIANO|ALBA  PIAVE S.CASSIANO -MACRINO|ALBA|SCUOLA PRIMO GRADO|C.SO EUROPA 1|CUNEO|PIEMONTE|356.0|S
NORD OVEST|CNIC855003|CNMM855014|ALBA QUARTIERE MORETTA|ALBA  - QUART. MORETTA-PERTINI|ALBA|SCUOLA PRIMO GRADO|VIA S.PAOLO  N. 8|CUNEO|PIEMONTE|260.0|S
NORD OVEST|CNIC85600V|CNMM85601X|ALBA CENTRO STORICO|ALBA CENTRO STORICO - VIDA|ALBA|SCUOLA PRIMO GRADO|VIA BALBO, 8|CUNEO|PIEMONTE|353.0|S
NORD OVEST|CNIC85700P|CNMM85701Q|CUNEO-CORSO SOLERI|SCUOLE MEDIE IC CUNEO SOLERI|CUNEO|SCUOLA PRIMO GRADO|C.SO SOLERI, N. 1|CUNEO|PIEMONTE|292.0|S
NORD OVEST|CNIC85800E|CNMM85801G|MONDOVI' 1|"MONDOVI' ""GALLO-FRANK"""|MONDOVI'|SCUOLA PRIMO GRADO|VIA MANESSERO 8|CUNEO|PIEMONTE|330.0|S
NORD OVEST|CNIS014001|CNTF01451V|"SALUZZO - ""C. DENINA"""|"VERZUOLO""M.DELPOZZO""SERALE"|VERZUOLO|ISTITUTO TECNICO INDUSTRIALE|VIA DON ORIONE 1|CUNEO|PIEMONTE||
NORD OVEST|CNIS01600L|CNTF016015|"BRA - ""E. GUALA"""|"BRA - ""ASCANIO SOBRERO"""|BRA|ISTITUTO TECNICO INDUSTRIALE|VIALE RIMEMBRANZE N. 19|CUNEO|PIEMONTE||
NORD OVEST|CNIS01700C|CNTF017022|"FOSSANO -  ""G.VALLAURI"""|"FOSSANO ""G.VALLAURI"""|FOSSANO|ISTITUTO TECNICO INDUSTRIALE|VIA S.MICHELE 68|CUNEO|PIEMONTE|1555.0|S
NORD OVEST|CNIS01700C|CNTF017509|"FOSSANO -  ""G.VALLAURI"""|FOSSANO IND.LE  SERALE|FOSSANO|ISTITUTO TECNICO INDUSTRIALE|VIA S. MICHELE, 68|CUNEO|PIEMONTE|39.0|S
NORD OVEST|CNIS019004|CNTF01901L|"ALBA - ""L. EINAUDI"""|ALBA I.T.I.S.|ALBA|ISTITUTO TECNICO INDUSTRIALE|VIA P. FERRERO, 20|CUNEO|PIEMONTE|346.0|S
NORD OVEST|CNIS02200X|CNTF02201C|"ISTRUZIONE SUPERIORE  ""ARIMONDI-EULA"""|"ISTRUZIONE SUPERIORE ""ARIMONDI-EULA"""|RACCONIGI|ISTITUTO TECNICO INDUSTRIALE|PIAZZA MUZZONE, 6|CUNEO|PIEMONTE|165.0|S
NORD OVEST|CNIS02200X|CNTF02251T|"ISTRUZIONE SUPERIORE  ""ARIMONDI-EULA"""|RACCONIGI TECN.IND.SERALE|RACCONIGI|ISTITUTO TECNICO INDUSTRIALE|P.ZZA MUZZONE, 6|CUNEO|PIEMONTE||
NORD OVEST|CNIS02900P|CNTF029017|"MONDOVI' ""CIGNA-BARUFFI-GARELLI"""|"MONDOVI' ""G. CIGNA"""|MONDOVI'|ISTITUTO TECNICO INDUSTRIALE|VIA DI CURAZZA NR. 15|CUNEO|PIEMONTE|564.0|S
NORD OVEST|CNIS02200X|CNTL02201L|"ISTRUZIONE SUPERIORE  ""ARIMONDI-EULA"""|"ISTRUZIONE SUPERIORE ""ARIMONDI-EULA"""|RACCONIGI|ISTITUTO TECNICO PER GEOMETRI|PIAZZA MUZZONE, 6|CUNEO|PIEMONTE|103.0|S
NORD OVEST|CNIS02200X|CNTL02202N|"ISTRUZIONE SUPERIORE  ""ARIMONDI-EULA"""|"ISTRUZIONE SUPERIORE ""ARIMONDI-EULA"""|SAVIGLIANO|ISTITUTO TECNICO PER GEOMETRI|PIAZZA     BARALIS   4|CUNEO|PIEMONTE|375.0|S
NORD OVEST|CNIS02200X|CNTL022523|"ISTRUZIONE SUPERIORE  ""ARIMONDI-EULA"""|"SAVIGLIANO""EULA""SERALE"|SAVIGLIANO|ISTITUTO TECNICO PER GEOMETRI|PIAZZA BARALIS, 4|CUNEO|PIEMONTE||
NORD OVEST|CNIS02400G|CNTL024018|CUNEO -BIANCHI - VIRGINIO|"CUNEO ""V.VIRGINIO"" GEOMETRI"|CUNEO|ISTITUTO TECNICO PER GEOMETRI|VIA F.LLI RAMORINO, 3|CUNEO|PIEMONTE|201.0|S
NORD OVEST|CNIS01600L|CNTD01601V|"BRA - ""E. GUALA"""|"BRA ""E. GUALA"""|BRA|ISTITUTO TECNICO COMMERCIALE|PIAZZA     ROMA 7|CUNEO|PIEMONTE|525.0|S
NORD OVEST|CNIS01600L|CNTD016507|"BRA - ""E. GUALA"""|"BRA ""GUALA""SERALE"|BRA|ISTITUTO TECNICO COMMERCIALE|PIAZZA|CUNEO|PIEMONTE||
NORD OVEST|CNIS01700C|CNTD01701P|"FOSSANO -  ""G.VALLAURI"""|"FOSSANO ""E.TESAURO"""|FOSSANO|ISTITUTO TECNICO COMMERCIALE|VIA SAN GIOVANNI BOSCO, 29|CUNEO|PIEMONTE|275.0|S
NORD OVEST|CNIS01700C|CNTD017503|"FOSSANO -  ""G.VALLAURI"""|FOSSANO COMM.LE SERALE|FOSSANO|ISTITUTO TECNICO COMMERCIALE|VIA SAN MICHELE 68|CUNEO|PIEMONTE|43.0|S
NORD OVEST|CNIS019004|CNTD01901A|"ALBA - ""L. EINAUDI"""|"ALBA  ""L. EINAUDI"""|ALBA|IST TEC COMMERCIALE E PER GEOMETRI|VIA        P. FERRERO 20|CUNEO|PIEMONTE|485.0|S
NORD OVEST|CNIC82200Q|CNMM82201R|CANALE|"CANALE ""MONSIGNOR L.SIBONA"""|CANALE|SCUOLA PRIMO GRADO|V.LE DEL PESCO N.5/B|CUNEO|PIEMONTE|228.0|S
NORD OVEST|CNIC82200Q|CNMM82202T|CANALE|CANALE SS VEZZA D'ALBA|VEZZA D'ALBA|SCUOLA PRIMO GRADO|PIAZZA S. CARLO N. 1BIS|CUNEO|PIEMONTE|137.0|S
NORD OVEST|CNIC82300G|CNMM82301L|GOVONE|"GOVONE ""T.L. DALMASSO"""|GOVONE|SCUOLA PRIMO GRADO|LOCALITA' MARTORIANA 2/A|CUNEO|PIEMONTE|102.0|S
NORD OVEST|CNIC839005|CNMM839016|BERNEZZO - DUCCIO GALIMBERTI|"BERNEZZO ""D. GALIMBERTI"""|BERNEZZO|SCUOLA PRIMO GRADO|PIAZZA SOLIDARIETA E VOLONTARIATO 3|CUNEO|PIEMONTE|126.0|S
NORD OVEST|CNIS00400A|CNRC004019|"ALBA ""P. CILLARIO FERRERO"""|"ALBA ""P.CILLARIO FERRERO"""|ALBA|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|VIA        BALBO 8|CUNEO|PIEMONTE|464.0|S
NORD OVEST|CNIS00400A|CNRC00402A|"ALBA ""P. CILLARIO FERRERO"""|CORTEMILIA|CORTEMILIA|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|CORSO      EINAUDI 12|CUNEO|PIEMONTE|67.0|S
NORD OVEST|CNIS00400A|CNRC00451P|"ALBA ""P. CILLARIO FERRERO"""|ALBA SERALE|ALBA|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|Non Disponibile|CUNEO|PIEMONTE||
NORD OVEST|CNIS014001|CNRC01401X|"SALUZZO - ""C. DENINA"""|"SALUZZO ""S.PELLICO"""|SALUZZO|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|VIA        DELLA CROCE 54 A|CUNEO|PIEMONTE|294.0|S
NORD OVEST|CNIS014001|CNRC014508|"SALUZZO - ""C. DENINA"""|"SALUZZO ""PELLICO""SERALE"|SALUZZO|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|VIA DELLA CHIESA 17|CUNEO|PIEMONTE||
NORD OVEST|CNIS00200P|CNRI00250P|"""AIMONE CRAVETTA"""|"SAVIGLIANO""MARCONI""SERALE"|SAVIGLIANO|IST PROF INDUSTRIA E ARTIGIANATO|PIAZZA MISERICORDIA 1|CUNEO|PIEMONTE||
NORD OVEST|CNIS00300E|CNRI003016|"CUNEO - ""S.GRANDIS"""|IPSIA CUNEO|CUNEO|IST PROF INDUSTRIA E ARTIGIANATO|VIA CACCIATORI DELLE ALPI 2|CUNEO|PIEMONTE|287.0|S
NORD OVEST|CNIS00300E|CNRI00350E|"CUNEO - ""S.GRANDIS"""|CUNEO IPSIA - SERALE|CUNEO|IST PROF INDUSTRIA E ARTIGIANATO|VIA CACCIATORI DELLE ALPI N. 2|CUNEO|PIEMONTE||
NORD OVEST|CNIS00400A|CNRI004012|"ALBA ""P. CILLARIO FERRERO"""|NEIVE|NEIVE|IST PROF INDUSTRIA E ARTIGIANATO|VIA ROCCA 10|CUNEO|PIEMONTE|471.0|S
NORD OVEST|CNIS00400A|CNRI00450A|"ALBA ""P. CILLARIO FERRERO"""|NEIVE SERALE|NEIVE|IST PROF INDUSTRIA E ARTIGIANATO|VIA ROCCA 10|CUNEO|PIEMONTE||
NORD OVEST|CNIS01600L|CNRI016018|"BRA - ""E. GUALA"""|BRA IPSIA|BRA|IST PROF INDUSTRIA E ARTIGIANATO|VIALE RIMEMBRANZE N. 19|CUNEO|PIEMONTE|144.0|S
NORD OVEST|CNIS02900P|CNRI02901A|"MONDOVI' ""CIGNA-BARUFFI-GARELLI"""|"MONDOVI' ""F. GARELLI"""|MONDOVI'|IST PROF INDUSTRIA E ARTIGIANATO|VIA BONA 4|CUNEO|PIEMONTE|324.0|S
NORD OVEST|CNIS021004|CNSD021011|"SALUZZO -  ""SOLERI-BERTONI"""|"SALUZZO ""AMLETO BERTONI"""|SALUZZO|ISTITUTO D'ARTE|VIA        SAN GIOVANNI 1|CUNEO|PIEMONTE|170.0|S
NORD OVEST|CNIS021004|CNSD02151A|"SALUZZO -  ""SOLERI-BERTONI"""|"SALUZZO ""AMLETO BERTONI"" SERALE"|SALUZZO|ISTITUTO D'ARTE|VIA SAN GIOVANNI 1|CUNEO|PIEMONTE||
NORD OVEST|CNIS00700T|CNSL007015|"ALBA - ""G. GOVONE"""|"ALBA ""PINOT GALLIZIO"""|ALBA|LICEO ARTISTICO|VIA V. EMANUELE 19|CUNEO|PIEMONTE|309.0|S
NORD OVEST|CNIS01700C|CNRC01701B|"FOSSANO -  ""G.VALLAURI"""|"FOSSANO ""S.PELLICO"""|FOSSANO|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|VIA SAN GIOVANNI BOSCO, 29|CUNEO|PIEMONTE||
NORD OVEST|CNIS026007|CNRC026016|"MONDOVI' ""GIOLITTI-BELLISARIO"""|"MONDOVI' ""M.BELLISARIO"""|MONDOVI'|IST  PROF  PER I SERVIZI COMMERCIALI|VIA NINO MANERA, 33|CUNEO|PIEMONTE|126.0|S
NORD OVEST|CNRH02000B|CNRH02000B|ISTITUTO VELSO MUCCI|ISTITUTO VELSO MUCCI|BRA|IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE|VIA CRAVERI 8|CUNEO|PIEMONTE|780.0|S
NORD OVEST|CNIS026007|CNRH02601B|"MONDOVI' ""GIOLITTI-BELLISARIO"""|"BARGE ""ALBERGHIERO"""|BARGE|IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE|PIAZZA STAZIONE 4|CUNEO|PIEMONTE|307.0|S
NORD OVEST|CNIS026007|CNRH02602C|"MONDOVI' ""GIOLITTI-BELLISARIO"""|"MONDOVI' ""G. GIOLITTI"""|MONDOVI'|IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE|PIAZZA IV NOVEMBRE|CUNEO|PIEMONTE|796.0|S
NORD OVEST|CNIS026007|CNRH02652T|"MONDOVI' ""GIOLITTI-BELLISARIO"""|"MONDOVI' ""G.GIOLITTI"" SERALE"|MONDOVI'|IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE|P.ZZA IV NOVEMBRE|CUNEO|PIEMONTE||
NORD OVEST|CNIC840009|CNMM84001A|CERVASCA|"CERVASCA ""G. MARCONI"""|CERVASCA|SCUOLA PRIMO GRADO|PIAZZA  DOTT. BERNARDI,6|CUNEO|PIEMONTE|223.0|S
NORD OVEST|CNIC841005|CNMM841016|CHIUSA DI PESIO - PEVERAGNO|"CHIUSA DI PESIO ""T.VALLAURI"""|CHIUSA DI PESIO|SCUOLA PRIMO GRADO|VIA CIRCONVALLAZIONE  DELLE VIGNE|CUNEO|PIEMONTE|127.0|S
NORD OVEST|CNIC841005|CNMM841027|CHIUSA DI PESIO - PEVERAGNO|CHIUSA PESIO SS PEVERAGNO|PEVERAGNO|SCUOLA PRIMO GRADO|VIA VITTORIO VENETO N. 29|CUNEO|PIEMONTE|128.0|S
NORD OVEST|CNIC84300R|CNMM84301T|CENTALLO-VILLAFALLETTO|"CENTALLO ""G.N.FRANCHI"""|CENTALLO|SCUOLA PRIMO GRADO|VIALE DELLE SCUOLE 10|CUNEO|PIEMONTE|230.0|S
NORD OVEST|CNIC84300R|CNMM84302V|CENTALLO-VILLAFALLETTO|CENTALLO SS VILLAFALLETTO|VILLAFALLETTO|SCUOLA PRIMO GRADO|VIA VOTTIGNASCO 9|CUNEO|PIEMONTE|162.0|S
NORD OVEST|CNIC84500C|CNMM84501D|VERZUOLO|VERZUOLO|VERZUOLO|SCUOLA PRIMO GRADO|VIA EUROPA,   5|CUNEO|PIEMONTE|177.0|S
NORD OVEST|CNIC846008|CNMM846019|DOGLIANI|"DOGLIANI ""L.EINAUDI"""|DOGLIANI|SCUOLA PRIMO GRADO|VIA DANTE ALIGHIERI N. 5|CUNEO|PIEMONTE|149.0|S
NORD OVEST|CNIS02800V|CNRH028013|"CUNEO ""VIRGINIO - DONADIO"""|SEZIONE CARCERARIA CUNEO|CUNEO|IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE|CASA CIRCONDARIALE CERIALDO - VIA RONCATA 75|CUNEO|PIEMONTE||
NORD OVEST|CNIS02800V|CNRH028024|"CUNEO ""VIRGINIO - DONADIO"""|"DRONERO ""GIANFRANCO DONADIO"""|DRONERO|IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE|VIA VAL MAIRA N. 19|CUNEO|PIEMONTE|704.0|S
NORD OVEST|CNIS00200P|CNRI00201A|"""AIMONE CRAVETTA"""|"SAVIGLIANO ""G.MARCONI"""|SAVIGLIANO|IST PROF INDUSTRIA E ARTIGIANATO|PIAZZA     MISERICORDIA 1|CUNEO|PIEMONTE|177.0|S
NORD OVEST|CNIS02400G|CNTL02451N|CUNEO -BIANCHI - VIRGINIO|"CUNEO ""V.VIRGINIO"" SERALE"|CUNEO|ISTITUTO TECNICO PER GEOMETRI|VIA SAVIGLIANO, 25|CUNEO|PIEMONTE|6.0|S
NORD OVEST|CNIS021004|CNSL02101B|"SALUZZO -  ""SOLERI-BERTONI"""|SEZIONE CARCERARIA - SALUZZO|SALUZZO|LICEO ARTISTICO|CASA CIRCONDARIALE SALUZZO REGIONE BRONDA  19/B|CUNEO|PIEMONTE|32.0|S
NORD OVEST|CNIS02400G|CNSL02401V|CUNEO -BIANCHI - VIRGINIO|"CUNEO ""EGO BIANCHI"""|CUNEO|LICEO ARTISTICO|C.SO A. DE GASPERI 11|CUNEO|PIEMONTE|522.0|S
NORD OVEST|CNIS02400G|CNSL024518|CUNEO -BIANCHI - VIRGINIO|"CUNEO ""EGO BIANCHI"" SERALE"|CUNEO|LICEO ARTISTICO|C.SO A.DE GASPERI 11|CUNEO|PIEMONTE||
NORD OVEST|CNIS012009|CNTA012015|"ALBA - ""UMBERTO I"""|"ALBA ""UMBERTO I"""|ALBA|ISTITUTO TECNICO AGRARIO|CORSO ENOTRIA, 2|CUNEO|PIEMONTE|420.0|S
NORD OVEST|CNIS026007|CNTA026013|"MONDOVI' ""GIOLITTI-BELLISARIO"""|MONDOVI'|MONDOVI'|ISTITUTO TECNICO AGRARIO|VIA NINO MANERA N.13|CUNEO|PIEMONTE|136.0|S
NORD OVEST|CNIS02800V|CNTA02801P|"CUNEO ""VIRGINIO - DONADIO"""|"CUNEO ""V.VIRGINIO"" AGRARIO"|CUNEO|ISTITUTO TECNICO AGRARIO|VIA SAVIGLIANO, 25|CUNEO|PIEMONTE|280.0|S
NORD OVEST|CNIS02800V|CNTA028503|"CUNEO ""VIRGINIO - DONADIO"""|CUNEO AGRARIO SERALE|CUNEO|ISTITUTO TECNICO AGRARIO|VIA SAVIGLIANO 25|CUNEO|PIEMONTE|42.0|S
NORD OVEST|CNIS01100D|CNTD01101Q|"CEVA - ""G. BARUFFI"""|"CEVA ""G. BARUFFI"""|CEVA|IST TEC COMMERCIALE E PER GEOMETRI|PIAZZA     GALLIANO, 3|CUNEO|PIEMONTE|182.0|S
NORD OVEST|CNIS014001|CNTD014017|"SALUZZO - ""C. DENINA"""|"SALUZZO ""C.DENINA"""|SALUZZO|ISTITUTO TECNICO COMMERCIALE|VIA        DELLA CHIESA 17|CUNEO|PIEMONTE|470.0|S
NORD OVEST|CNIC85800E|CNIC85800E|MONDOVI' 1|MONDOVI' 1|MONDOVI'|ISTITUTO COMPRENSIVO|VIA G. MANESSERO 8|CUNEO|PIEMONTE||
NORD OVEST|CNPS07000P|CNPS07000P|"LICEO "" VASCO-BECCARIA-GOVONE"""|"LICEO "" VASCO-BECCARIA-GOVONE"""|MONDOVI'|LICEO SCIENTIFICO|P.ZA IV NOVEMBRE 4|CUNEO|PIEMONTE|876.0|S
NORD OVEST|CNIC83700D|CNIC83700D|NEIVE|NEIVE|NEIVE|ISTITUTO COMPRENSIVO|VIA  C.PAVESE N. 5|CUNEO|PIEMONTE||
NORD OVEST|CNIC85000X|CNEE850034|BUSCA GIOSUE CARDUCCI|BUSCA - FRAZ. S. CHIAFFREDO|BUSCA|SCUOLA PRIMARIA|PIAZZA DON DEMARIA|CUNEO|PIEMONTE|106.0|S
NORD OVEST||CN1A01200G||SCUOLA DELL'INFANZIA PARITARIA CONVITTO PROVVIDENZA|BRA|SCUOLA INFANZIA NON STATALE|VIA PROVVIDENZA, 5|CUNEO|PIEMONTE||
NORD OVEST||CN1ADO500G||ESCOLO DE SANCTO LUCIO DE COUMBOSCURO - LA SCUOLA IN PROVENZALE|MONTEROSSO GRANA|SCUOLA INFANZIA NON STATALE|FR. SANTA LUCIA/SANCTO LUCIO DE COUMBOSCURO, 24|CUNEO|PIEMONTE||
NORD OVEST||CNPSNL5009||LICEO SCIENTIFICO VESPUCCI|CUNEO|SCUOLA SEC. SECONDO GRADO NON STATALE|VIA BERSEZIO, 2|CUNEO|PIEMONTE|26.0|P
NORD OVEST||CNTFR0500N||ISTITUTO TECNICO TECNOLOGICO INDIRIZZO TRASPORTIE LOGISTICA|CUNEO|SCUOLA SEC. SECONDO GRADO NON STATALE|VIA BERSEZIO, 2|CUNEO|PIEMONTE|16.0|P
NORD OVEST||CN1A09200C||SCUOLA DELL'INFANZIA PARITARIA IL GIARDINO DI SAN NICOLA|SALUZZO|SCUOLA INFANZIA NON STATALE|VIA DEL SEMINARIO|CUNEO|PIEMONTE||
NORD OVEST||CN1A03200R||SCUOLA DELL'INFANZIA PARITARIA DON BASSO|CUNEO|SCUOLA INFANZIA NON STATALE|VIA DON BASSO, 27|CUNEO|PIEMONTE||
