AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME|SPAZIDIDATTICI|AULAMAGNA|MENSA|PALESTRAPISCINA|SPAZIAMMINISTRATIVI|SCUOLABUS|TRASPORTIPUBBLICIURBANI|TRASPORTIPUBBLICIINTERURBANI|TRASPORTIFERROVIARI|MEZZIPRIVATI|TRASPORTODISABILI|Linea_finanziamento|COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|COD_PRINC|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|CUP|Importo totale opera|Finanziamento/ Provvedimento
NORD OVEST|CNIS014001|CNTD014028|CASA CIRCONDARIALE MORANDI|SALUZZO|IST TEC COMMERCIALE E PER GEOMETRI|REGIONE BRONDA 19/B|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85900A|CNMM85902C|MONDOVI' CORDERO SS PIANFEI|PIANFEI|SCUOLA PRIMO GRADO|VIA ROMA 99/F|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862013|SALUZZO-ILARIA ALPI|SALUZZO|SCUOLA INFANZIA|VIA BARGE, 6/A|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862024|SALUZZO-VIA MARIA LUISA ALESSI|SALUZZO|SCUOLA INFANZIA|VIA MARIA LUISA ALESSI|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862035|SALUZZO-FRAZ.CERVIGNASCO|SALUZZO|SCUOLA INFANZIA|VIA REVALANCA, 14|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862046|PAGNO|PAGNO|SCUOLA INFANZIA|VIA CADUTI LIBERAZIONE, 8|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNAA86301V|"BRA-VIA OSP. "" G. RODARI"""|BRA|SCUOLA INFANZIA|VIA OSPEDALE, 10|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNAA86402Q|BRA-CARLO COLLODI|BRA|SCUOLA INFANZIA|PIAZZETTA VALFRE' DI BONZO 2/A|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNAA86403R|BRA- S. ANDREA CENTRO STORICO|BRA|SCUOLA INFANZIA|VIA BEATO VALFRE'|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNAA86501E|FOSSANO-PIAZZA VITTORIO VENETO|FOSSANO|SCUOLA INFANZIA|PIAZZA VITTORIO VENETO|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNAA86502G|FOSSANO-PIAZZA LUIGI DOMPE'|FOSSANO|SCUOLA INFANZIA|PIAZZA LUIGI DOMPE'|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNAA86503L|FOSSANO-FRAZ. S.SEBASTIANO|FOSSANO|SCUOLA INFANZIA|VIA DEI PEANI, N.8|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNAA86601A|"FOSSANO-""COLLODI"""|FOSSANO|SCUOLA INFANZIA|VIA FORNACE,20|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNAA86602B|"FOSSANO-""RODARI"""|FOSSANO|SCUOLA INFANZIA|VIA VINCENZO SPARLA 1|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE862018|SALUZZO-CAP.'C.A. DALLA CHIESA'|SALUZZO|SCUOLA PRIMARIA|VIA ANTICA TORINO|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE862029|"SALUZZO - CAPOL. ""MUSSO"""|SALUZZO|SCUOLA PRIMARIA|C.SO PIEMONTE, 185|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE86203A|SALUZZO CAPOL. 'PIVANO'|SALUZZO|SCUOLA PRIMARIA|P.ZZA DANTE, 12|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE86204B|"SALUZZO - CAP. ""COSTA"""|SALUZZO|SCUOLA PRIMARIA|P.ZZA XX SETTEMBRE, 1|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNMM862017|"SALUZZO ""ROSA BIANCA"""|SALUZZO|SCUOLA PRIMO GRADO|VIA SEGRE 14|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNMM862028|SALUZZO SS MANTA|MANTA|SCUOLA PRIMO GRADO|VIA GARIBALDI N. 61|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNAA86302X|BRA-ZONA MONTECATINI|BRA|SCUOLA INFANZIA|VIA PIUMATI N.72|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNAA863031|"BRA-BANDITO "" CHIARA LUBICH"""|BRA|SCUOLA INFANZIA|STRADA CROSASSA N. 14|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNAA863042|"BRA-POLLENZO""REG.MARGHERITA SAV"|BRA|SCUOLA INFANZIA|VIA REGINA MARGHERITA,30|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNAA86401P|BRA - GINA LAGORIO|BRA|SCUOLA INFANZIA|VIA CACCIATORI DELLE ALPI, 22|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNEE863014|"BRA CAP.- ""DON MILANI"""|BRA|SCUOLA PRIMARIA|VIA EUROPA, N.15|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNEE863025|"BRA -""F. GIOETTI""-MADONNA FIORI"|BRA|SCUOLA PRIMARIA|VIALE MADONNA DEI FIORI N.108|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNEE863036|"BRA-FRAZ.BANDITO "" A. JONA"""|BRA|SCUOLA PRIMARIA|VIA PROF.CRAVERO N.1|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNEE863047|"BRA-S. MICHELE  ""MARTIRI  RES"""|BRA|SCUOLA PRIMARIA|TENZA|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNEE863058|BRA - FRAZ. RIVA|BRA|SCUOLA PRIMARIA|VIA CAVALLERMAGGIORE|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNEE863069|"BRA -POLLENZO ""PRINC. MAFALDA """|BRA|SCUOLA PRIMARIA|VIA REGINA MARGHERITA, 54|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNEE86401X|BRA-RITA LEVI MONTALCINI-|BRA|SCUOLA PRIMARIA|VIA VITTORIO EMANUELE, 200|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNEE864021|"BRA- ""EDOARDO MOSCA"""|BRA|SCUOLA PRIMARIA|PIAZZA GIOVANNI GIOLITTI 84|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNEE86501Q|FOSSANO LUIGI EINAUDI|FOSSANO|SCUOLA PRIMARIA|VIA MATTEOTTI, N.33|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNEE86502R|FOSSANO - FRAZ. MURAZZO|FOSSANO|SCUOLA PRIMARIA|VIA CUNEO 197|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNEE86503T|FOSSANO - FRAZ.MADDALENE|FOSSANO|SCUOLA PRIMARIA|VIA CENTALLO, N.279|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNEE86504V|CERVERE F.LLI VERNASSA|CERVERE|SCUOLA PRIMARIA|VIA ROMA 16|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNEE86601G|FOSSANO I. CALVINO|FOSSANO|SCUOLA PRIMARIA|VIA GARIBALDI 5|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNEE86602L|"FOSSANO- CAP. ""P. LEVI"""|FOSSANO|SCUOLA PRIMARIA|VIA FEDERICO SACCO 3|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNEE86603N|GENOLA LIDIA ROLFI|GENOLA|SCUOLA PRIMARIA|VIA SAN CIRIACO,4|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNIC862006|SALUZZO|SALUZZO|ISTITUTO COMPRENSIVO|VIA C. SEGRE 14|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNIC863002|BRA 2|BRA|ISTITUTO COMPRENSIVO|VIA EUROPA, N.15|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNIC86400T|BRA 1|BRA|ISTITUTO COMPRENSIVO|VIA VITTORIO EMANUELE, 200|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNIC86500N|FOSSANO A|FOSSANO|ISTITUTO COMPRENSIVO|VIA G. MATTEOTTI, N.33|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNIC86600D|FOSSANO B|FOSSANO|ISTITUTO COMPRENSIVO|PIAZZA DON MARIO PICCO N.6|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNMM863013|BRA - DALLACHIESA|BRA|SCUOLA PRIMO GRADO|VIA BRIZIO 10|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNMM86401V|BRA PIUMATI CRAVERI|BRA|SCUOLA PRIMO GRADO|VIA BARBACANA 41|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNMM86501P|FOSSANO PAGLIERI|FOSSANO|SCUOLA PRIMO GRADO|VIA DANTE ALIGHIERI 18|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNMM86502Q|FOSSANO PAGLIERI SS CERVERE|CERVERE|SCUOLA PRIMO GRADO|VIA ADUA N. 2|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNMM86601E|FOSSANO SACCO-BOETTO|FOSSANO|SCUOLA PRIMO GRADO|PIAZZA DON MARIO PICCO N.6|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNMM86602G|FOSSANO SACCO-BOETTO SS GENOLA|GENOLA|SCUOLA PRIMO GRADO|VIA SAN CIRIACO 1/A|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE86205C|PAGNO - CAPOLUOGO|PAGNO|SCUOLA PRIMARIA|VIA CADUTI LIBERAZIONE, 8|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE86206D|MANTA - CAPOLUOGO|MANTA|SCUOLA PRIMARIA|VIA VALERANO IL BURDO, 9/B|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC83500T|CNAA83501P|RIFREDDO-CAPOLUOGO|RIFREDDO|SCUOLA INFANZIA|VIA VITT. EMANUELE II, 22|CUNEO|PIEMONTE|0041810002|CN|Attivo|NO|SI|SI|Non Comunicato|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|750,00|540,00|1.450,00|Esiste|Non Esiste|Non Comunicato|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|NO|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Rifreddo|Amministrazione Comunale|2017-12-15|2017-06-15|2017-09-15|COMUNE di Rifreddo|COMUNE|CNIC83500T|||44.651251|7.3498149999999995|Manutenzione straordinaria|Cantiere aperto|F64H17000080004|66140,0000|66140,0000
NORD OVEST|CNIC83500T|CNAA83502Q|PAESANA-CAPOLUOGO|PAESANA|SCUOLA INFANZIA|VIA REYNAUD N. 13|CUNEO|PIEMONTE|0041570003|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|SI|SI|NO|-|dal 1976 in poi|-|Informazione assente|1.0|4.000,00|2.960,00|2.991,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|NO|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC83500T|CNAA83503R|MARTINIANA PO-CAPOLUOGO|MARTINIANA PO|SCUOLA INFANZIA|VIA ROMA N. 29|CUNEO|PIEMONTE|0041210002|CN|Attivo|NO|NO|SI|Non Comunicato|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|-|230,00|1.050,00|Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC83600N|CNAA83601E|SCUOLA INFANZIA BAGNASCO|BAGNASCO|SCUOLA INFANZIA|VIA ROMA, 5|CUNEO|PIEMONTE|0040080001|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|3.0|1.800,00|500,00|6.000,00|Non Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|SI|SI|SI|SI|SI||||||||||||||||||
NORD OVEST|CNIC83600N|CNAA83602G|SCUOLA INFANZIA ORMEA|ORMEA|SCUOLA INFANZIA|VIA MARTINETTO, 1 - LOC.ALTRAMELLA|CUNEO|PIEMONTE|0041550001|CN|Attivo|SI|SI|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1976|Informazione assente|-|Informazione assente|3.0|6.000,00|5.100,00|5.700,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|NO|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC84500C|CNIC84500C|VERZUOLO|VERZUOLO|ISTITUTO COMPRENSIVO|VIA EUROPA ,  5|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC80200E|CNEE80204Q|MONTANERA - CAPOL.|MONTANERA|SCUOLA PRIMARIA|VIA CAMPO SPORTIVO|CUNEO|PIEMONTE|0041360001|CN|Attivo|SI|NO|NO|Non Comunicato|-|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|1.650,00|1.160,00|4.750,00|Non Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|SI|SI|NO|SI|SI|#Scuole Sicure - CIPE 30/06/2014|Montanera|MIUR|2017-07-31|2017-05-22|2017-06-30|MONTANERA|COMUNE|CNIC80200E|||44.462824|7.667731|Manutenzione Straordinaria|Start|C66J08000500004|51508,0000|51508,0000
NORD OVEST|CNIC80200E|CNEE80205R|"MOROZZO - ""CAV. ALDO ROSSI"""|MOROZZO|SCUOLA PRIMARIA|PIAZZA C. BARBERO 8|CUNEO|PIEMONTE|0041440003|CN|Attivo|NO|NO|SI|Non Comunicato|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|2.100,00|1.620,00|4.100,00|Esiste|Non Esiste|Non Comunicato|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC80300A|CNEE80301C|DEMONTE|DEMONTE|SCUOLA PRIMARIA|VIA PEANO 6|CUNEO|PIEMONTE|0040790001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1961 e il 1975|-|tra il 1946 e il 1975|3.0|3.490,00|1.340,00|4.784,00|Esiste|Non Esiste|Esiste|Esiste|Esiste|SI|SI|NO|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Demonte|Amministrazione Comunale|2017-12-15|2017-04-01|2017-09-28|COMUNE di Demonte|COMUNE|CNIC80300A|||44.315734|7.292756|Miglioramento sismico|Cantiere aperto|C31E15000500002|240000,0000|40225,0000
NORD OVEST|CNIC80300A|CNEE80301C|DEMONTE|DEMONTE|SCUOLA PRIMARIA|VIA PEANO 6|CUNEO|PIEMONTE|0040790001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1961 e il 1975|-|tra il 1946 e il 1975|3.0|3.490,00|1.340,00|4.784,00|Esiste|Non Esiste|Esiste|Esiste|Esiste|SI|SI|NO|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Demonte|Amministrazione comunale|2017-12-15|2016-10-19|2017-12-31|Demonte|COMUNE||||44.315897|7.29254|Adeguamento impiantistica e/o antincendio|Cantiere aperto|C37B16000160004|47750,0000|47750,0000
NORD OVEST|CNIC80300A|CNEE80301C|DEMONTE|DEMONTE|SCUOLA PRIMARIA|VIA PEANO 6|CUNEO|PIEMONTE|0040790001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1961 e il 1975|-|tra il 1946 e il 1975|3.0|3.490,00|1.340,00|4.784,00|Esiste|Non Esiste|Esiste|Esiste|Esiste|SI|SI|NO|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Demonte|Amministrazione comunale|2017-12-15|2016-11-03|2017-12-31|Demonte|COMUNE||||44.315754|7.29299|Adeguamento impiantistica e/o antincendio|Cantiere aperto|C37B16000170004|50450,0000|50450,0000
NORD OVEST|CNIC80300A|CNEE80301C|DEMONTE|DEMONTE|SCUOLA PRIMARIA|VIA PEANO 6|CUNEO|PIEMONTE|0040790001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1961 e il 1975|-|tra il 1946 e il 1975|3.0|3.490,00|1.340,00|4.784,00|Esiste|Non Esiste|Esiste|Esiste|Esiste|SI|SI|NO|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Demonte|Amministrazione comunale|2017-12-15|2017-06-05|2017-12-31|Demonte|COMUNE||||44.315718|7.2926470000000005|Miglioramento sismico|Cantiere aperto|C36J16000790004|150000,0000|150000,0000
NORD OVEST|CNIC80300A|CNEE80301C|DEMONTE|DEMONTE|SCUOLA PRIMARIA|VIA PEANO 6|CUNEO|PIEMONTE|0040790001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1961 e il 1975|-|tra il 1946 e il 1975|3.0|3.490,00|1.340,00|4.784,00|Esiste|Non Esiste|Esiste|Esiste|Esiste|SI|SI|NO|NO|SI|SI|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Demonte|MIUR|2017-07-31|2016-03-21|2017-03-27|DEMONTE|COMUNE|CNIC80300A||Gli interventi riguardano l`adeguamento sismico della struttura e consistono nell’inserimento di appositi rinforzi. nel rifacimento dei tramezzi in cartongesso e dei tamponamenti esterni. e nella realizzazione di un cappotto termico.|44.315732000000004|7.2927919999999995|Efficientamento energetico|Concluso|C31E15000300001|800000,0000|799904,2000
NORD OVEST|CNIC80300A|CNEE80301C|DEMONTE|DEMONTE|SCUOLA PRIMARIA|VIA PEANO 6|CUNEO|PIEMONTE|0040790001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1961 e il 1975|-|tra il 1946 e il 1975|3.0|3.490,00|1.340,00|4.784,00|Esiste|Non Esiste|Esiste|Esiste|Esiste|SI|SI|NO|NO|SI|SI|#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Demonte|Amministrazione comunale|2017-11-28|2017-06-08|2018-06-30|COMUNE di Demonte|COMUNE||||44.314945|7.295239|Adeguamento impiantistica e/o antincendio , Adeguamento sismico|Cantiere aperto|C31E15000500002|240000,0000|81300,8000
NORD OVEST|CNIC80300A|CNEE80302D|PRIMARIA DEMONTE-FESTIONA|DEMONTE|SCUOLA PRIMARIA|""" L. PELIZZETTI"" P.ZA  ALPINI, 1"|CUNEO|PIEMONTE|0040790002|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|1920|Informazione assente|-|Informazione assente|3.0|175,00|-|700,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|SI|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC80300A|CNEE80304G|PRIMARIA ROCCASPARVERA - P.Q.|ROCCASPARVERA|SCUOLA PRIMARIA|VIA PERASSO,N.13|CUNEO|PIEMONTE|0041910003|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|SI|SI|NO|2005|Informazione assente|-|Informazione assente|3.0|9.869,00|7.214,00|7.970,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|NO|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC80300A|CNEE80305L|PRIMARIA VINADIO - AISONE|VINADIO|SCUOLA PRIMARIA|VIA TROCELLO, 12|CUNEO|PIEMONTE|0042480002|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|1928|Informazione assente|-|Informazione assente|2.0|981,00|70,00|2.600,00|Non Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC81900X|CNEE819034|LA MORRA -|LA MORRA|SCUOLA PRIMARIA|P.ZZA CASTELLO N. 8|CUNEO|PIEMONTE|0041050002|CN|Attivo|SI|NO|SI|Non classificato a rischio|NO|NO|SI|-|prima del 1800|1912|Informazione assente|3.0|1.290,00|522,00|6.150,00|Esiste|Non Esiste|Esiste|Non Esiste|Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC81900X|CNEE819034|LA MORRA -|LA MORRA|SCUOLA PRIMARIA|P.ZZA CASTELLO N. 8|CUNEO|PIEMONTE|0041050003|CN|Attivo|SI|NO|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1921 e il 1945|1983|Informazione assente|1.0|758,00|527,00|3.190,00|Non Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC81900X|CNEE819045|MONFORTE D'ALBA -|MONFORTE D'ALBA|SCUOLA PRIMARIA|P.ZZA F.LLI VOLA, N. 3|CUNEO|PIEMONTE|0041320003|CN|Attivo|SI|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|3.0|4.850,00|4.280,00|3.280,00|Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|SI|NO|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC81900X|CNEE819045|MONFORTE D'ALBA -|MONFORTE D'ALBA|SCUOLA PRIMARIA|P.ZZA F.LLI VOLA, N. 3|CUNEO|PIEMONTE|0041320005|CN|Attivo|SI|NO|NO|Non classificato a rischio|SI|SI|NO|2009|Informazione assente|-|Informazione assente|2.0|-|-|4.520,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|SI|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Monforte d`Alba|MIUR|2017-07-31|2016-06-24|2017-06-27|MONFORTE D`ALBA|COMUNE|CNIC81900X|||44.582226|7.969555000000001|Efficientamento energetico|Concluso|G24H15001460001|785000,0000|784987,3000
NORD OVEST|CNIC820004|CNEE820016|POCAPAGLIA-CAPOLUOGO|POCAPAGLIA|SCUOLA PRIMARIA|PIAZZA MARIA PIA|CUNEO|PIEMONTE|0041700005|CN|Attivo|SI|SI|NO|Non classificato a rischio|NO|SI|NO|1992|Informazione assente|-|Informazione assente|3.0|1.500,00|787,00|12.851,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC820004|CNEE820027|POCAPAGLIA-FRAZ.MACELLAI|POCAPAGLIA|SCUOLA PRIMARIA|VIA VALENTINO|CUNEO|PIEMONTE|0041700001|CN|Attivo|NO|SI|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|3.0|595,00|390,00|1.900,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC83600N|CNIC83600N|GARESSIO|GARESSIO|ISTITUTO COMPRENSIVO|VIA VITTORIO EMANUELE, 72|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC838009|CNIC838009|CAVALLERMAGGIORE|CAVALLERMAGGIORE|ISTITUTO COMPRENSIVO|PIAZZA NOBEL N.1|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC820004|CNEE820038|SANTA VITTORIA D'ALBA - CAPOL.|SANTA VITTORIA D'ALBA|SCUOLA PRIMARIA|PIAZZA BERTERO|CUNEO|PIEMONTE|0042120003|CN|Attivo|SI|NO|SI|Non classificato a rischio|NO|SI|NO|1912|Informazione assente|-|Informazione assente|2.0|900,00|600,00|1.526,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC839005|CNIC839005|BERNEZZO - DUCCIO GALIMBERTI|BERNEZZO|ISTITUTO COMPRENSIVO|P.ZA SOLIDARIETA E VOLONTARIATO 3|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
