AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|ANNOSCOLASTICO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME
NORD OVEST|CNIC82200Q|CNEE82203X|CANALE|VEZZA D'ALBA-CAPOLUOGO|VEZZA D'ALBA|SCUOLA PRIMARIA|PIAZZA SAN CARLO N.1    BIS|CUNEO|PIEMONTE|0042410004|CN|Attivo|201516.0|SI|NO|NO|Non classificato a rischio|NO|SI|NO|2003|Informazione assente|-|Informazione assente|2.0|2.398,00|1.000,00|8.918,00
NORD OVEST|CNIC85000X|CNAA85001R|BUSCA GIOSUE CARDUCCI|BUSCA-CAPOLUOGO|BUSCA|SCUOLA INFANZIA|VIA PES DI VILLAMARINA|CUNEO|PIEMONTE|0040340007|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1978|Informazione assente|-|Informazione assente|3.0|2.785,00|2.265,00|2.830,00
NORD OVEST|CNIC813001|CNAA813041|"CEVA ""A.MOMIGLIANO"""|LESEGNO-CAPOLUOGO|LESEGNO|SCUOLA INFANZIA|VIA VIARIS 5|CUNEO|PIEMONTE|0041080001|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1970|Informazione assente|-|Informazione assente|3.0|1.350,00|934,00|4.624,00
NORD OVEST|CNIC813001|CNAA813052|"CEVA ""A.MOMIGLIANO"""|MOMBASIGLIO-CAPOLUOGO|MOMBASIGLIO|SCUOLA INFANZIA|P.ZA MUNICIPIO 1|CUNEO|PIEMONTE|0041250001|CN|Attivo|201516.0|-|-|-|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|2.0|872,00|400,00|2.152,00
NORD OVEST|CNIC82100X|CNAA82101R|MONTA'|MONTA'-CAPOLUOGO|MONTA'|SCUOLA INFANZIA|C.SO A. DE GASPERI 13|CUNEO|PIEMONTE|0041330001|CN|Attivo|201516.0|NO|SI|SI|Non classificato a rischio|NO|SI|NO|1890|Informazione assente|-|Informazione assente|4.0|1.482,00|776,00|7.544,00
NORD OVEST|CNIC82100X|CNAA82101R|MONTA'|MONTA'-CAPOLUOGO|MONTA'|SCUOLA INFANZIA|C.SO A. DE GASPERI 13|CUNEO|PIEMONTE|0041330004|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|-|SI|NO|1989|Informazione assente|-|Informazione assente|2.0|2.910,00|988,00|2.720,00
NORD OVEST|CNIC82100X|CNAA82102T|MONTA'|SANTO STEFANO ROERO|SANTO STEFANO ROERO|SCUOLA INFANZIA|VIA CAPOLUOGO 3|CUNEO|PIEMONTE|0042140001|CN|Attivo|201516.0|-|-|-|Non classificato a rischio|SI|Non Comunicato|-|-|dal 1976 in poi|-|Informazione assente|3.0|-|-|977,00
NORD OVEST|CNIC82100X|CNAA82102T|MONTA'|SANTO STEFANO ROERO|SANTO STEFANO ROERO|SCUOLA INFANZIA|VIA CAPOLUOGO 3|CUNEO|PIEMONTE|0042140002|CN|Attivo|201516.0|SI|SI|NO|Non classificato a rischio|NO|SI|NO|1975|Informazione assente|-|Informazione assente|3.0|1.138,00|800,00|1.720,00
NORD OVEST|CNIC82100X|CNAA82103V|MONTA'|MONTA'-FR. SAN ROCCO|MONTA'|SCUOLA INFANZIA|FR. SAN ROCCO, 43|CUNEO|PIEMONTE|0041330007|CN|Attivo|201516.0|SI|SI|SI|Non classificato a rischio|-|NO|SI|-|tra il 1921 e il 1945|-|Informazione assente|2.0|536,00|292,00|902,00
NORD OVEST|CNIC82200Q|CNEE822041|CANALE|MONTEU ROERO-CAPOLUOGO|MONTEU ROERO|SCUOLA PRIMARIA|PIAZZA ROMA 5/B|CUNEO|PIEMONTE|0041400003|CN|Attivo|201516.0|SI|SI|SI|Non classificato a rischio|NO|NO|SI|-|prima del 1800|1985|Informazione assente|3.0|-|-|1.280,00
NORD OVEST|CNIC82300G|CNEE82301N|GOVONE|SUOR TECLA MERLO|CASTAGNITO|SCUOLA PRIMARIA|VIA LAVANDARO 11|CUNEO|PIEMONTE|0040460003|CN|Attivo|201516.0|SI|NO|NO|Non classificato a rischio|NO|SI|NO|2002|Informazione assente|-|Informazione assente|1.0|15.648,00|-|2.730,00
NORD OVEST|CNIC82300G|CNEE82302P|GOVONE|CASTELLINALDO - CAPOLUOGO|CASTELLINALDO|SCUOLA PRIMARIA|VIA GUGLIELMO MARCONI, 7|CUNEO|PIEMONTE|0040510001|CN|Attivo|201516.0|NO|NO|SI|Non Comunicato|NO|NO|SI|1900|Informazione assente|-|Dal 1976 in poi|3.0|355,00|135,00|1.492,00
NORD OVEST|CNIC840009|CNEE84001B|CERVASCA|CERVASCA - CAPOLUOGO|CERVASCA|SCUOLA PRIMARIA|PIAZZA BERNARDI, 10|CUNEO|PIEMONTE|0040640001|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1987|Informazione assente|-|Informazione assente|5.0|-|-|7.326,00
NORD OVEST|CNIC840009|CNEE84002C|CERVASCA|CERVASCA - FRAZ. S. CROCE|CERVASCA|SCUOLA PRIMARIA|VIA VIGNOLO,115|CUNEO|PIEMONTE|0040640003|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1993|Informazione assente|-|Informazione assente|3.0|2.000,00|-|5.470,00
NORD OVEST|CNIC82200Q|CNAA82201L|CANALE|MONTALDO ROERO-CAPOLUOGO|MONTALDO ROERO|SCUOLA INFANZIA|VIA ROMA 58|CUNEO|PIEMONTE|0041350001|CN|Attivo|201516.0|SI|SI|NO|Non classificato a rischio|NO|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|2.0|650,00|170,00|1.956,00
NORD OVEST|CNIC82200Q|CNAA82202N|CANALE|CANALE  CAPOLUOGO|CANALE|SCUOLA INFANZIA|VIALE DEL PESCO 8|CUNEO|PIEMONTE|0040370001|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|4.0|15.650,00|11.410,00|16.560,00
NORD OVEST|CNIC82200Q|CNAA82203P|CANALE|MONTEU ROERO-CAPOLUOGO|MONTEU ROERO|SCUOLA INFANZIA|PIAZZA ROMA 5/B|CUNEO|PIEMONTE|0041400004|CN|Attivo|201516.0|SI|SI|SI|Non classificato a rischio|NO|NO|SI|-|prima del 1800|1985|Informazione assente|1.0|1.000,00|401,00|844,00
NORD OVEST|CNIC847004|CNAA847011|CUNEO - FRAZ. BORGO S. GIUSEPPE|CUNEO-FRAZ.BOMBONINA|CUNEO|SCUOLA INFANZIA|VIA TETTO SACCHETTO, 9|CUNEO|PIEMONTE|0040780021|CN|Attivo|201516.0|NO|NO|NO|Non Comunicato|NO|SI|NO|1978|Informazione assente|-|Informazione assente|2.0|1.720,00|1.320,00|1.200,00
NORD OVEST|CNIC847004|CNAA847022|CUNEO - FRAZ. BORGO S. GIUSEPPE|CUNEO-FRAZ.TETTO CANALE|CUNEO|SCUOLA INFANZIA|VIA MONEA OLTREGESSO,75|CUNEO|PIEMONTE|0040780022|CN|Attivo|201516.0|NO|NO|NO|Non Comunicato|NO|SI|NO|1972|Informazione assente|-|Informazione assente|2.0|1.500,00|1.200,00|1.680,00
NORD OVEST|CNIC84800X|CNAA84801R|CUNEO - OLTRESTURA|"""C. COLLODI"" - CERIALDO"|CUNEO|SCUOLA INFANZIA|VIA CITTADELLA, 10|CUNEO|PIEMONTE|0040780023|CN|Attivo|201516.0|NO|NO|NO|Non Comunicato|NO|SI|NO|1978|Informazione assente|-|Informazione assente|1.0|2.160,00|1.504,00|2.033,00
NORD OVEST|CNIC85800E|CNEE85801L|MONDOVI' 1|MONDOVI' BREO TRIGARI|MONDOVI'|SCUOLA PRIMARIA|VIA G. MANESSERO 8|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85800E|CNEE85802N|MONDOVI' 1|MONDOVI' CAPOL. BORGO FERRONE|MONDOVI'|SCUOLA PRIMARIA|CORSO ALPI N.48|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85800E|CNEE85803P|MONDOVI' 1|MONDOVI' - CAP. PIAZZA|MONDOVI'|SCUOLA PRIMARIA|VIA VICO, 56|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC81000D|CNAA81003C|ROBILANTE|ENTRACQUE CAPOLUOGO|ENTRACQUE|SCUOLA INFANZIA|VIA ANGELO BARALE, 2 A|CUNEO|PIEMONTE|0040840001|CN|Attivo|201516.0|NO|SI|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1978|Informazione assente|-|Informazione assente|3.0|862,00|178,00|3.238,00
NORD OVEST|CNIC81000D|CNAA81004D|ROBILANTE|VALDIERI-FRAZ. ANDONNO|VALDIERI|SCUOLA INFANZIA|VIA G. ROSSO, 2 BIS|CUNEO|PIEMONTE|0042330004|CN|Attivo|201516.0|NO|SI|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|2.0|400,00|-|1.456,00
NORD OVEST|CNMM161008|CNMM161008|CPIA 6 CUNEO - SALUZZO|CPIA 6 CUNEO - SALUZZO|CUNEO|SCUOLA PRIMO GRADO|VIA BARBAROUX  7|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNMM162004|CNMM162004|CPIA 2 ALBA - MONDOVI'|CPIA 2 ALBA - MONDOVI'|ALBA|SCUOLA PRIMO GRADO|VIA ACCADEMIA, 6|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC81400R|CNAA81407X|BOSSOLASCO-MURAZZANO|MURAZZANO-CAPOLUOGO|MURAZZANO|SCUOLA INFANZIA|VIA CELESTINO D'ASTE|CUNEO|PIEMONTE|0041450003|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|SI|SI|NO|2005|Informazione assente|-|Informazione assente|3.0|560,00|404,00|500,00
NORD OVEST|CNIC847004|CNEE847016|CUNEO - FRAZ. BORGO S. GIUSEPPE|CUNEO-FRAZ.BORGO S.GIUSEPPE|CUNEO|SCUOLA PRIMARIA|VIA S. CRISTOFORO 25|CUNEO|PIEMONTE|0040780031|CN|Attivo|201516.0|-|-|-|Non Comunicato|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|4.0|1.385,00|1.047,00|5.337,00
NORD OVEST|CNIC847004|CNEE847027|CUNEO - FRAZ. BORGO S. GIUSEPPE|CUNEO-FRAZ.BOMBONINA|CUNEO|SCUOLA PRIMARIA|VIA CASTELLETTO STURA,272|CUNEO|PIEMONTE|0040780032|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1957|Informazione assente|-|Informazione assente|3.0|1.280,00|1.061,00|1.950,00
NORD OVEST|CNIC82800P|CNEE828062|"DRONERO ""G.GIOLITTI"""|SAN DAMIANO MACRA - CAPOL.|SAN DAMIANO MACRA|SCUOLA PRIMARIA|SAN DAMIANO MACRA|CUNEO|PIEMONTE|0042070001|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1962|Informazione assente|-|Informazione assente|3.0|450,00|278,00|1.634,00
NORD OVEST|CNIC82100X|CNEE821012|MONTA'|MONTA' - CAPOLUOGO|MONTA'|SCUOLA PRIMARIA|VIA ROMA  N. 18|CUNEO|PIEMONTE|0041330001|CN|Attivo|201516.0|NO|SI|SI|Non classificato a rischio|NO|SI|NO|1890|Informazione assente|-|Informazione assente|4.0|1.482,00|776,00|7.544,00
NORD OVEST|CNIC80200E|CNMM80201G|MOROZZO|"MOROZZO ""V. PEYRONE"""|MOROZZO|SCUOLA PRIMO GRADO|VIA LUCIANO EULA N. 8|CUNEO|PIEMONTE|0041440002|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1979|Informazione assente|-|Informazione assente|3.0|5.800,00|5.220,00|5.500,00
NORD OVEST|CNIC82800P|CNEE828073|"DRONERO ""G.GIOLITTI"""|VILLAR SAN COSTANZO - CAPOL.|VILLAR SAN COSTANZO|SCUOLA PRIMARIA|LOC.VILLAR SC|CUNEO|PIEMONTE|0042470003|CN|Attivo|201516.0|NO|SI|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1963|Informazione assente|-|Informazione assente|3.0|1.494,00|1.038,00|4.289,00
NORD OVEST|CNIC83000P|CNEE83002T|"RACCONIGI ""B. MUZZONE"""|RACCONIGI-A.MORO CADUTI VIA FAN|RACCONIGI|SCUOLA PRIMARIA|VIA FERRUCCIO TON N.3|CUNEO|PIEMONTE|0041790002|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|-|SI|NO|1966|Informazione assente|-|Informazione assente|4.0|8.550,00|4.550,00|19.560,00
NORD OVEST|CNIC83100E|CNEE83101L|MORETTA|CASALGRASSO - CAPOLUOGO|CASALGRASSO|SCUOLA PRIMARIA|VIA MONS. ROSTAGNO, 2|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85100Q|CNEE85101T|SAVIGLIANO S. SANTAROSA|SAVIGLIANO- SANTORRE SANTAROSA|SAVIGLIANO|SCUOLA PRIMARIA|VIA A. FERRERI, 9|CUNEO|PIEMONTE|0042150018|CN|Attivo|201516.0|NO|NO|SI|Non Comunicato|-|NO|SI|1770|Informazione assente|-|Informazione assente|4.0|3.038,00|1.100,00|28.217,00
NORD OVEST|CNIC85100Q|CNEE85102V|SAVIGLIANO S. SANTAROSA|SAVIGLIANO - FRAZ. LEVALDIGI|SAVIGLIANO|SCUOLA PRIMARIA|VIA THOLOSAN 37|CUNEO|PIEMONTE|0042150019|CN|Attivo|201516.0|NO|NO|SI|Non Comunicato|-|SI|NO|1933|Informazione assente|-|Informazione assente|3.0|1.871,00|1.458,00|3.758,00
NORD OVEST|CNIC85200G|CNEE85201N|SAVIGLIANO -PAPA GIOVANNI XXIII|MARENE - CAPOLUOGO|MARENE|SCUOLA PRIMARIA|VIA R. GALVAGNO 19|CUNEO|PIEMONTE|0041170001|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|3.0|5.576,00|3.313,00|4.611,00
NORD OVEST|CNIC85200G|CNEE85201N|SAVIGLIANO -PAPA GIOVANNI XXIII|MARENE - CAPOLUOGO|MARENE|SCUOLA PRIMARIA|VIA R. GALVAGNO 19|CUNEO|PIEMONTE|0041170002|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|2.0|5.576,00|3.313,00|4.611,00
NORD OVEST|CNIC85200G|CNEE85201N|SAVIGLIANO -PAPA GIOVANNI XXIII|MARENE - CAPOLUOGO|MARENE|SCUOLA PRIMARIA|VIA R. GALVAGNO 19|CUNEO|PIEMONTE|0041170003|CN|Attivo|201516.0|NO|NO|-|Non classificato a rischio|NO|SI|NO|1980|Informazione assente|-|Informazione assente|2.0|5.800,00|980,00|6.895,00
NORD OVEST|CNIC85200G|CNEE85202P|SAVIGLIANO -PAPA GIOVANNI XXIII|SAVIGLIANO-B. PIEVE-GIOV.XXIII|SAVIGLIANO|SCUOLA PRIMARIA|VICOLO S. EUSTACCHIO, 18|CUNEO|PIEMONTE|0042150017|CN|Attivo|201516.0|NO|NO|NO|Non Comunicato|-|SI|NO|1970|Informazione assente|-|Informazione assente|4.0|3.618,00|2.924,00|10.742,00
NORD OVEST|CNIC83700D|CNAA83704D|NEIVE|NEIVE - CAPOLUOGO|NEIVE|SCUOLA INFANZIA|VIA CESARE PAVESE 3 B|CUNEO|PIEMONTE|0041480002|CN|Attivo|201516.0|SI|SI|NO|Non classificato a rischio|SI|SI|NO|1983|Informazione assente|-|Informazione assente|3.0|-|-|4.245,00
NORD OVEST|CNIC83700D|CNAA83705E|NEIVE|MANGO|MANGO|SCUOLA INFANZIA|VIA CIRCONVALLAZIONE 43|CUNEO|PIEMONTE|0041150002|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1965|Informazione assente|-|Informazione assente|4.0|7.425,00|6.525,00|11.880,00
NORD OVEST|CNMM162004|CNEE700014|CPIA 2 ALBA - MONDOVI'|"ALBA- ""CASA CIRCONDARIALE"""|ALBA|SCUOLA PRIMARIA|Non Disponibile|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNMM161008|CNEE70101X|CPIA 6 CUNEO - SALUZZO|CUNEO-CARCERI GIUDIZIARIE|CUNEO|SCUOLA PRIMARIA|Non Disponibile|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNMM161008|CNEE70201Q|CPIA 6 CUNEO - SALUZZO|"FOSSANO ""CASA DI RECLUSIONE"""|FOSSANO|SCUOLA PRIMARIA|Non Disponibile|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC82100X|CNEE821023|MONTA'|MONTA' - FRAZ. S. ROCCO|MONTA'|SCUOLA PRIMARIA|MONTA'|CUNEO|PIEMONTE|0041330006|CN|Attivo|201516.0|SI|SI|-|Non classificato a rischio|-|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|3.0|616,00|360,00|2.751,00
NORD OVEST|CNIC82100X|CNEE821034|MONTA'|SANTO STEFANO ROERO - CAPOLUOGO|SANTO STEFANO ROERO|SCUOLA PRIMARIA|VIA CAPOLUOGO N. 3/A|CUNEO|PIEMONTE|0042140001|CN|Attivo|201516.0|-|-|-|Non classificato a rischio|SI|Non Comunicato|-|-|dal 1976 in poi|-|Informazione assente|3.0|-|-|977,00
NORD OVEST|CNIC82100X|CNEE821034|MONTA'|SANTO STEFANO ROERO - CAPOLUOGO|SANTO STEFANO ROERO|SCUOLA PRIMARIA|VIA CAPOLUOGO N. 3/A|CUNEO|PIEMONTE|0042140003|CN|Attivo|201516.0|SI|SI|NO|Non classificato a rischio|NO|SI|NO|2006|Informazione assente|-|Informazione assente|2.0|1.200,00|-|1.056,00
NORD OVEST|CNIC833006|CNEE833018|BARGE|BARGE-CAPOLUOGO|BARGE|SCUOLA PRIMARIA|VIALE MAZZINI 2|CUNEO|PIEMONTE|0040120001|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1900 e il 1920|-|Informazione assente|2.0|3.655,00|673,00|10.010,00
NORD OVEST|CNIC833006|CNEE833018|BARGE|BARGE-CAPOLUOGO|BARGE|SCUOLA PRIMARIA|VIALE MAZZINI 2|CUNEO|PIEMONTE|0040120007|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1976|Informazione assente|-|Informazione assente|2.0|-|-|1.506,00
NORD OVEST|CNIC833006|CNEE833029|BARGE|BARGE-FRAZ.S.MARTINO|BARGE|SCUOLA PRIMARIA|VIA CROCETTA 2|CUNEO|PIEMONTE|0040120003|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1974|Informazione assente|-|Informazione assente|3.0|1.014,00|798,00|2.672,00
NORD OVEST|CNIC820004|CNAA820033|SANTA VITTORIA D'ALBA|POCAPAGLIA - FRAZ. MACELLAI|POCAPAGLIA|SCUOLA INFANZIA|VIA DON ALMONDO|CUNEO|PIEMONTE|0041700002|CN|Attivo|201516.0|SI|SI|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|2.0|800,00|515,00|1.750,00
NORD OVEST|CNIC820004|CNAA820044|SANTA VITTORIA D'ALBA|POCAPAGLIA - CAP.|POCAPAGLIA|SCUOLA INFANZIA|PIAZZA MARIA PIA|CUNEO|PIEMONTE|0041700003|CN|Attivo|201516.0|SI|SI|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1921 e il 1945|-|Informazione assente|3.0|1.200,00|600,00|5.140,00
NORD OVEST|CNIC811009|CNEE81102C|SAN MICHELE MONDOVI'|NIELLA TANARO - CAPOL.|NIELLA TANARO|SCUOLA PRIMARIA|VIA XX SETTEMBRE 108|CUNEO|PIEMONTE|0041510001|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1800 e il 1899|1930|Informazione assente|3.0|1.400,00|1.000,00|2.400,00
NORD OVEST|CNIC811009|CNEE81103D|SAN MICHELE MONDOVI'|L. CUGNOD - PAMPARATO SERRA|PAMPARATO|SCUOLA PRIMARIA|VIA PROVINCIALE N. 5 - FRAZ. SERRA|CUNEO|PIEMONTE|0041590001|CN|Attivo|201516.0|SI|NO|NO|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|4.0|4.000,00|1.920,00|2.090,00
NORD OVEST|CNIC811009|CNEE81103D|SAN MICHELE MONDOVI'|L. CUGNOD - PAMPARATO SERRA|PAMPARATO|SCUOLA PRIMARIA|VIA PROVINCIALE N. 5 - FRAZ. SERRA|CUNEO|PIEMONTE|0041590002|CN|Attivo|201516.0|SI|NO|SI|Non Comunicato|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|1.0|4.000,00|1.792,00|465,00
NORD OVEST|CNIC811009|CNEE81103D|SAN MICHELE MONDOVI'|L. CUGNOD - PAMPARATO SERRA|PAMPARATO|SCUOLA PRIMARIA|VIA PROVINCIALE N. 5 - FRAZ. SERRA|CUNEO|PIEMONTE|0041590003|CN|Attivo|201516.0|SI|NO|NO|Non Comunicato|SI|Non Comunicato|-|-|tra il 1946 e il 1960|-|Informazione assente|1.0|4.000,00|1.792,00|465,00
NORD OVEST|CNIC811009|CNEE81104E|SAN MICHELE MONDOVI'|SAN MICHELE MONDOVI'|SAN MICHELE MONDOVI'|SCUOLA PRIMARIA|VIA DELLE SCUOLE N. 1|CUNEO|PIEMONTE|0042100002|CN|Attivo|201516.0|SI|NO|NO|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|5.296,00|4.100,00|3.800,00
NORD OVEST|CNIC84500C|CNEE84503L|VERZUOLO|"PRIMARIA""S.PELLICO""VILLANOVETTA"|VERZUOLO|SCUOLA PRIMARIA|VIA SILVIO PELLICO  4|CUNEO|PIEMONTE|0042400004|CN|Attivo|201516.0|NO|NO|SI|Non Comunicato|-|Non Comunicato|-|1962|Informazione assente|-|prima del 1945|3.0|2.818,00|2.425,00|2.750,00
NORD OVEST|CNIC84500C|CNEE84503L|VERZUOLO|"PRIMARIA""S.PELLICO""VILLANOVETTA"|VERZUOLO|SCUOLA PRIMARIA|VIA SILVIO PELLICO  4|CUNEO|PIEMONTE|0042400010|CN|Attivo|201516.0|NO|NO|NO|Non Comunicato|NO|Non Comunicato|-|2003|Informazione assente|-|Informazione assente|1.0|-|-|1.100,00
NORD OVEST|CNIC84500C|CNEE84504N|VERZUOLO|PRIMARIA LAGNASCO|LAGNASCO|SCUOLA PRIMARIA|PIAZZA UMBERTO I ,  13|CUNEO|PIEMONTE|0041040001|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1800 e il 1899|-|prima del 1945|2.0|460,00|130,00|2.335,00
NORD OVEST|CNIS026007|CNIS026007|"MONDOVI' ""GIOLITTI-BELLISARIO"""|"MONDOVI' ""GIOLITTI-BELLISARIO"""|MONDOVI'|ISTITUTO SUPERIORE|PIAZZA IV NOVEMBRE|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIS02800V|CNIS02800V|"CUNEO ""VIRGINIO - DONADIO"""|"CUNEO ""VIRGINIO - DONADIO"""|CUNEO|ISTITUTO SUPERIORE|VIA SAVIGLIANO, 25|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIS02900P|CNIS02900P|"MONDOVI' ""CIGNA-BARUFFI-GARELLI"""|"MONDOVI' ""CIGNA-BARUFFI-GARELLI"""|MONDOVI'|ISTITUTO SUPERIORE|VIA DI CURAZZA NR. 15|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC846008|CNEE84602B|DOGLIANI|DOGLIANI -  L. TARICCO|DOGLIANI|SCUOLA PRIMARIA|VIA D.GHIGLIANO 38|CUNEO|PIEMONTE|0040810001|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|SI|NO|1950|Informazione assente|-|Informazione assente|3.0|4.655,00|2.985,00|19.000,00
NORD OVEST|CNIC846008|CNEE84603C|DOGLIANI|"""G.BARROERO"" - FARIGLIANO"|FARIGLIANO|SCUOLA PRIMARIA|PIAZZA VITTORIO EMANUELE N.25|CUNEO|PIEMONTE|0040860003|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|NO|SI|1920|Informazione assente|1977|Informazione assente|3.0|476,00|-|4.908,00
NORD OVEST|CNIC846008|CNEE84604D|DOGLIANI|"""A.VACCHETTA"" LEQUIO TANARO"|LEQUIO TANARO|SCUOLA PRIMARIA|VIA GIACOMO CIGLIUTTI N.17|CUNEO|PIEMONTE|0041070002|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1900 e il 1920|-|Informazione assente|3.0|1.450,00|1.200,00|3.200,00
NORD OVEST|CNIC84900Q|CNAA84903P|DIANO D'ALBA - CAPOLUOGO|RODDI-CAPOLUOGO|RODDI|SCUOLA INFANZIA|VIA CROSETTI,1|CUNEO|PIEMONTE|0041940003|CN|Attivo|201516.0|SI|NO|NO|Non classificato a rischio|SI|SI|NO|2003|Informazione assente|-|Informazione assente|3.0|920,00|90,00|4.780,00
NORD OVEST|CNIC84900Q|CNAA84904Q|DIANO D'ALBA - CAPOLUOGO|RODELLO|RODELLO|SCUOLA INFANZIA|PIAZZA  COMUNALE, 2|CUNEO|PIEMONTE|0041960001|CN|Attivo|201516.0|SI|NO|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1800 e il 1899|-|Dal 1976 in poi|2.0|1.100,00|400,00|1.468,00
NORD OVEST|CNIC84900Q|CNAA84904Q|DIANO D'ALBA - CAPOLUOGO|RODELLO|RODELLO|SCUOLA INFANZIA|PIAZZA  COMUNALE, 2|CUNEO|PIEMONTE|0041960002|CN|Attivo|201516.0|SI|NO|NO|Non classificato a rischio|NO|SI|NO|1986|Informazione assente|-|Informazione assente|2.0|-|-|1.109,00
NORD OVEST|CNIC84900Q|CNAA84905R|DIANO D'ALBA - CAPOLUOGO|DIANO ALBA  - CAPOLUOGO|DIANO D'ALBA|SCUOLA INFANZIA|VIA UMBERTO I 25/A|CUNEO|PIEMONTE|0040800001|CN|Attivo|201516.0|SI|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|4.0|705,00|355,00|5.390,00
NORD OVEST|CNIC812005|CNEE812028|VILLANOVA MONDOVI'|FRABOSA SOTTANA - CAPOL.|FRABOSA SOTTANA|SCUOLA PRIMARIA|VIA IV NOVEMBRE 62|CUNEO|PIEMONTE|0040910001|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|SI|NO|SI|-|tra il 1921 e il 1945|-|Dal 1976 in poi|3.0|770,00|536,00|1.400,00
